00002b21,0000684b,00005584,00000ab4
0000783e,00001acc,000076b6,00006c62
00004280,00006255,000013af,000072a8
00006ac3,00004f37,00002817,00003cf8
00005f41,00003d3f,00000c05,00004276
000038a9,0000544e,0000228a,00007063
00006b35,00005687,000075dc,0000150e
00000c86,00007156,00003255,000076ae
000060d4,00006cbc,00004c8b,000055d2
00004ad5,00006835,0000065e,00003362
00007ea9,00003401,000019b8,000027bf
00005e4b,00002f71,0000051c,00007bec
00006647,00002c77,0000177e,000051bb
00000255,00002bbd,000065b9,00005819
00005d89,00007649,00007607,0000256e
00007a15,00002b8d,000061b8,00004141
000068b1,00004688,000029f8,00005869
00003ba6,000013f3,00001845,0000077d
00003d84,000000fb,0000034a,0000109b
00003b1c,00001b4f,00007bfd,000056f7
0000164a,00003471,0000674e,00000fde
0000549a,000022e4,000018cd,00003511
00004e8c,00004def,0000209c,00000035
00001070,00001323,00007482,000033f5
00003b72,000003d6,000055f2,00004fdd
00007862,00007bb1,00000058,0000147a
00002fbc,000077f4,00002ef6,00007d23
00007740,0000307a,00004972,00000775
00002f9b,00005f88,00001c37,00001df7
000036f5,000011f4,00002a87,00007540
00003713,0000670a,0000793c,00002761
0000428d,000030e6,00000c39,00005386
00007e56,00007514,00005121,000036ea
000034d1,0000711c,0000731e,000048d9
00003904,00007337,00005175,00007193
000006fb,000007d1,000019cd,00005dff
0000587c,00000533,00005f9c,000049ee
00003a5b,00005634,00001ea8,000021c7
0000156a,00001d1a,00000152,0000650d
0000347b,0000671b,00002fb5,000054c4
00005e9a,00001c74,000001d0,00006998
00000b52,0000325b,0000356e,0000334e
00005e5e,00002083,00007081,00005394
00003e04,00001fbc,00006e3c,00003d0a
00004252,00003bc2,00000664,00007ed7
000035be,0000655e,000028fa,00001267
00007790,00007461,00005691,00002b8f
00003e36,00002ffa,00005e31,000066a7
0000543c,00002f44,00006805,00001b61
00003f5a,000036ba,00004fa0,00001c0a
00000099,00005050,0000394e,000053af
0000771b,00007a98,00003dd1,0000443b
00002be2,00003d2e,000000b5,00002263
0000582e,00001d2d,00006503,00004f2f
00003f80,00007755,000050bb,00002b47
00001b71,000040f3,000075d9,000015ee
00005c5e,00007b7f,00005e29,000006ef
000057d9,0000076a,00003407,00005177
000068e8,0000218d,0000726c,00003c16
00000e01,00006bf0,00000b53,00006a0d
00004609,0000754f,00007752,0000511a
000066d2,00000528,00002894,000040e1
00002fe5,00002006,0000723a,000041ba
00005302,000045f9,00000b7b,00004d25
00004da1,0000282a,00001bfb,0000226c
0000298a,00002300,000067b4,0000210d
0000356f,000066ab,000052c2,0000601d
00000dea,00007f99,0000726e,00001864
00003972,00007bba,00004765,00007bdb
000011aa,000049d0,00006285,000074c4
00000e48,0000207b,00004246,00006685
00003e6d,00001b8e,00002756,00004537
000006e0,00005895,0000539f,00006502
00002d73,00000014,00006225,00005160
00004005,00005bfa,0000205f,000006e2
0000011f,00000291,00007c33,00003ed5
00001f20,0000050d,000022c6,0000261d
00004891,0000521e,00001878,00006fd3
0000422a,00003a40,000050a8,00007aa7
000049f2,00007df0,00002e70,000059d3
00003b1b,00005b8c,00000405,000066bd
00000cac,00000ff4,00000955,00004bd4
000044fe,00000b29,000035fd,00007e39
00002c64,00006fd7,00003c15,000020e3
000003b8,00004505,00005e88,000075b7
00001c87,00003a9a,00006a97,00005115
00001740,00007186,00001fa7,0000074f
000000ae,00005a6b,00006dfb,00003355
00005736,00006f32,0000066f,000006a8
00002870,00007188,00002ea5,00006d69
00003f0e,000067ab,00001975,00005fb1
0000418e,00005144,0000181f,0000761f
00001e45,0000238c,0000388d,00006d15
00000052,00003012,000071fa,00005d16
00004f9a,00002fda,00004470,00004278
0000141c,00001dbb,00002515,00006629
000059f8,00006909,00003cad,0000255c
00000a07,00004bba,000058fe,00003677
00005e43,000000a0,000019ff,00000c70
00006946,0000723c,00000f53,000016f7
00002587,000032b2,00000cf8,00001816
00003701,00002696,00001520,00004655
000029b1,00000841,00002ab8,00002d8b
00007d27,00005208,00000ba9,00007433
000007bb,00004190,0000749f,00001142
00007ea1,00001df6,00000eb8,000070da
00005c38,000050c9,00001fae,00003efb
00007535,00007b03,00002781,00004a17
00003dcc,0000136c,00007a1e,000009f4
00004853,00007e1e,000002fb,000064b3
00003d02,00003b1a,00005513,00004d75
000056ad,00002534,00003966,000037d2
00000686,00003d12,00001530,000042fb
000047c3,00007955,0000121e,00005be5
000005f5,00001a7f,00001407,000026a2
00007b52,000049aa,0000653d,00005eb4
000064c2,000057a5,0000069d,0000241b
00001acc,00006f81,000039fb,00000512
00007aa0,0000383a,00003238,00007f6e
00003f37,00005827,0000386c,000010e8
000005ad,000041eb,000021a0,00000db0
00000c4e,000033c5,00001ccd,00005900
00005591,00001407,000018f7,00005089
00001d31,00007d9e,00003230,0000781b
00001f0b,00000397,0000285d,00003141
000053b4,000013db,0000260a,000007b9
00003066,00004a09,00005ca9,000061af
000053bc,00002fa8,00006dcb,00002e93
00004277,0000721a,00002db5,000038a1
000072ba,00004378,00004199,00003021
0000532a,00004828,00004f86,0000115d
00006c4a,00002f5f,000059e4,00001bd0
00001b07,000044b1,000023af,00002738
00006ded,00005523,00003b30,00001052
000024d2,000010a6,00000300,00001e60
0000337e,000037e9,00001660,00006dd2
0000244f,0000536d,00001357,0000363b
0000073b,00005779,000065ed,00003620
00002b92,000058e4,000046e6,00007e44
00006414,0000129a,00003000,00007ef4
00002c7c,00003d2c,000039fe,000068fb
00001c67,00001aa1,00004334,000010f8
00000281,000021c9,00000c73,00001acc
00005a54,00005c3a,00001f68,00000600
00000343,000029e5,000043bf,00003670
00001572,00001581,0000215c,00004bf9
00007da3,00003673,00004343,000030a2
00001611,00002d1f,00000b15,000034bf
0000566c,000002d3,00003fb8,00004dd4
00007422,000051a3,000071c1,00004e5c
00004447,000021b9,00001e34,00006c04
000003c8,00002fc3,000079ce,00005f60
000027b3,00007679,0000286a,00002c15
00006f70,000001e6,000027ae,000001b6
00003e06,00006890,000055d7,0000541b
000073cb,00004f04,00006453,000055a9
00005b68,00006633,00005285,000058e0
00007720,00002d96,00005199,0000149c
00007af2,0000751b,000050db,00001e07
00003086,00006307,00005050,00001b1c
00003f02,00007f70,000023ac,00000395
00003110,0000338b,0000602c,00004c5d
0000327e,00005e46,000032de,00007693
00001c3b,00006400,00001362,000005a6
000017dd,000053df,00003de4,00006364
00000f68,000015cd,00000013,000060f7
000025ae,000007c4,000069f4,0000312d
00002c68,00003710,00001e1c,00004ceb
0000720d,000048a5,00005539,000067a7
000058e1,0000279d,0000287f,00006d81
00007553,000000f0,00003ae1,000062fc
00005511,000072b0,000001b2,00007e92
00005c3c,00001e27,00003a1a,000063cc
0000758e,00004671,000070c1,00004bbb
00000e34,00003711,00002fa6,0000029b
000035e4,00004b9d,00002fbe,00000aaa
0000193a,00004994,000070e2,00004f1b
00003b34,00001941,00007f14,00003e66
00007277,00003f8e,00003592,00005f9b
000049a5,00000cef,00005b5e,00007b8f
00007512,0000047b,000020b9,0000686a
00004e5b,000032ac,00006e92,000031e9
000007ef,000043f3,0000307e,000064e1
000001a9,00000aa5,00003241,00004100
000071ff,00004702,00005c8e,00000ede
00007147,00003bd5,00007326,000057cb
00003809,000013ff,000043bb,000024da
00007d7f,000024ab,00002838,00002459
00004f62,00000dff,000036dc,000068bc
000022b2,00003079,000055df,00004f9e
00000c56,00007019,00005dc6,0000546a
000016ae,0000504f,000043a5,00001bd6
0000108c,0000632f,0000212d,000059c5
00002841,00000d2d,000025c3,00007824
00003ce9,000068c6,0000191a,0000005e
00003c6b,0000701c,000050c4,00006482
000062b5,000078f2,000047b2,00001014
00005840,00001269,00004003,00002dc3
00000e22,00005d79,00005734,000076f8
00007dba,0000226d,000075d5,00004461
0000007a,0000754a,00006b34,00003230
00004ca0,000075cc,0000736f,00000403
00002eec,00005026,00006da2,0000411e
00003ac8,0000215d,000017d7,00001953
000037e1,000057a4,0000656c,000017b2
00003bca,00004cb2,00001b19,00005739
00007a4e,00006e1f,00002a2a,000056d0
00003900,00004332,00005fd4,00004e2e
0000410c,00001e1a,0000480f,00005255
00007ad9,00007a2b,00002224,0000688a
000042bf,0000659e,00003136,000036e0
00001ddb,00004345,000068e4,00005726
00007de6,000069c5,00002f68,000063e8
00001661,000013a6,000049c7,00000882
000018c0,0000632c,00000605,0000618b
00007f73,00006f4d,00006924,00003501
000050a8,000016e3,00005fef,00007e80
000007fd,0000594b,000001b4,00001499
00007547,00006d98,000045ab,0000708a
00003086,00003538,000053b9,00003cdd
00005dda,00005217,000073fe,000078d7
00003024,00006385,000011d7,000073c9
00002264,00007956,00001a60,00001fa2
0000612c,00006ce5,000009a3,0000450c
00005691,00004ebf,00002d16,0000623a
000031b6,00006fac,000065e3,00004561
00004a04,00001202,00003738,00000805
00006348,00005606,00006357,000079bf
00000c82,00004402,00007b8f,00003484
00001d2a,000073f7,00001985,00000977
00002b0b,00004cb6,00000658,00003885
00001e0d,00006db0,00002868,00000610
00000f4b,0000028f,000040e8,00004f8c
00005dbe,00007563,000076f2,00000881
000024f2,00004191,00005810,0000057a
00002dd5,00001426,00000ddd,00000687
00005440,00007a6b,00001652,00006422
000034b9,00002ccc,00000344,00004ad4
000063f8,00004ffa,00004977,000035b9
0000083d,00000d40,00005fe3,00006f09
00003711,000047a7,0000690d,00005ce6
000017a6,00003a85,000012e2,00004776
00002968,00007e14,000012d5,0000370d
000022e5,00004bca,000036f9,00004ecb
00003baa,00001b15,00001f67,000015ba
00002b3f,0000120d,000049ae,00006cf2
0000212c,000043d3,0000757b,00001899
000027c5,00004910,00004f02,0000034a
00006372,00002272,00001893,00007bea
00001590,00002f79,000043fc,00007472
000017a6,0000172b,000078a4,00003fbc
00004b89,0000703b,00001b5f,00005bc9
000069b1,00001493,00002aca,00007257
00004efb,0000041c,000056e5,0000577a
00006344,00004149,00003b67,000071c3
00003c80,00001fd6,00004602,00005689
00004751,0000428f,00003a65,00005c3a
0000597d,00003d6d,000041cd,0000547a
00006f29,0000685c,000031fc,000029e7
000051f3,000014c7,00006627,0000451e
00002ffe,000018e7,00002776,00006600
000057a6,00007048,00002e81,00007c1e
000028d0,00004d98,00006f1b,000052aa
00004151,00006c26,00007f04,00005042
0000394d,00007b06,0000135d,0000549c
000055f4,00001aa6,00004304,0000778b
000027b6,0000390c,000017f6,00007953
000079e4,000019e1,00004b07,00004f9c
00002686,00006341,00005c7b,00005603
000050fc,00003826,0000561d,00004a3f
000020d0,0000527b,00000537,00001f86
00001358,00000347,00001602,00001d66
000042db,00000563,00005a5a,000012e1
00007dfe,00004c74,00005b67,00004b8e
0000281c,00007702,00002044,00004b4a
000036c1,000005b9,0000272c,00000bc4
00002a0b,00001602,00005ad0,00001de0
00003123,00007959,00007d56,0000131d
000077ac,000065f8,00001124,00002a78
0000515c,000061c0,000005ea,00004275
0000116d,00005e28,00005fae,00006e8c
0000188e,0000713c,00005c1c,000015f5
000046ff,00003355,00000f89,00005bbd
00004d71,0000574a,0000315c,00006f24
00001d6b,00000006,0000767b,000062ca
00002053,00002552,00002d71,00000121
000041fa,00005166,00003e21,00001da1
000033ec,000064e9,0000268f,0000038e
00006f16,00003b43,000019f6,00001dc9
00004e17,000074c4,00006bb6,000010b8
000051cb,000063ed,00000db5,00003ad9
00004f3c,000014a5,00003eb4,00005321
00006b8e,00007e20,00005917,00003212
00006016,00003c4c,00005a90,00001cec
000013d6,00007592,000015c4,000019cc
00001508,00006065,0000055b,000015f6
00000d04,000042ec,00002cb6,00003d60
0000751c,0000627c,00002af3,000000d8
00001692,00000a67,00003bed,00007c56
00004a6d,00006d4b,00004639,000001dd
000067fd,00001e3a,00004a2c,0000398a
000004fd,000047de,00002c1c,00003e6f
00000e1b,00001748,0000716d,000016db
00007752,00002baf,00002b61,0000738a
00001bcd,000042f9,00000045,00004843
000039a5,0000529a,00001c1f,00003deb
00001b65,00001d06,00002bb2,000071ba
00005e73,00006ad3,00004bbe,00002411
000049e6,00005814,0000570e,000067c8
0000746b,0000494e,00001b59,00003838
00006479,0000660c,00004704,00000c9f
00002284,00000df9,0000367e,00001f7d
00007d46,00003b12,00000ced,0000579f
00006a23,00004081,00003f9a,000045f0
00000c0c,00005c4a,00005977,00003ab9
000008e6,00002f3b,000003d4,000048ff
000021c0,0000387a,00007f4f,00001797
00004fc3,00007477,00004fc4,000031ae
00001c93,00007657,00000e17,00006657
000060a2,00007518,000068fb,0000022e
00007edc,000017e6,00002556,000004ee
00006971,00003efa,00000003,0000546c
00002637,00007685,000047a8,00006934
00005256,00003043,00004dda,00007744
00002b24,00001181,00002113,00003706
00000925,00005a10,000070d8,00000e87
000012ae,000000fe,0000386d,000050fd
0000701c,00001568,000016e3,00001e3d
00005afa,00000580,00007889,00003c0f
000067a9,0000011c,00007ff0,00005279
00006ff5,00004177,0000304d,00004c36
00001911,00006e99,00005206,00006988
0000137c,0000364b,00002fa5,000037da
00000bac,0000510e,0000510f,00007491
00007403,0000009e,000037d1,00005566
00007cac,000011b8,000032df,00004733
000069e3,00006d30,00004d8c,00000f28
00006c7b,00006bcf,00003e3e,00001df7
000010f4,00006200,000078c4,00003994
000067c4,00005f18,0000634b,000066e9
00002e05,000022ef,000018c5,0000050c
00000e36,00004f5b,00007428,00003be0
00004ad8,000035d1,00005916,000003c0
00004324,000063ec,000060b7,00006285
00007246,00006ba3,00005b37,0000362c
0000444d,000038c8,000050ef,00001db7
00004e76,0000305f,00003ac3,000063aa
00006a32,00007996,0000468c,000036ca
00001fd7,00007e1d,00001c44,00005dcc
000057ad,00003dd0,00007ad0,0000303c
00006b7e,00002b3e,000037d8,000041d9
00000a69,000072b6,0000228b,00005486
00007825,00003fc9,0000217f,00007a3e
00007991,000046fb,0000326e,00001c1a
000079b4,0000290d,0000656a,00005083
00001660,00007570,000025c9,00000bf9
00002ffa,00006c09,00002732,000046de
00006063,0000795f,00005d5e,00007713
00003af9,000062e4,00001cd9,00000930
00003244,0000340f,00003d24,00004217
0000140a,00001a34,00000a3d,0000195a
0000272e,00004326,00006491,00004984
00004a8d,000044ab,00000370,00007f52
0000484f,00005f27,000006e6,00007ca4
00001283,0000345a,00001623,000069b6
00005904,00005c1e,00000f87,00004486
00001190,000048dc,000070ff,00003657
000038b9,0000314f,00005ba2,000008eb
000072b6,0000502b,000074e6,00005889
000029bf,00006cee,000018b7,00006a4b
00001f69,00000d41,000030a9,000028cc
0000508d,00004345,000072ca,00004988
00004ae0,00004668,00000770,00007c7b
00007551,00005401,000043a0,00005fa6
000029be,00004576,000026e3,00003b0b
00000450,00000748,000065f9,00004aae
00006962,00000c55,000063fd,00003a1d
00003e8b,00006512,0000550c,00005a93
00005fb6,00000948,000026e8,00000595
00006a1c,00002fa1,0000554d,00006187
00004e8b,00004a79,000046d9,00006cee
000002f6,000078d8,000047dc,00005f33
00000386,00006ca7,0000764a,0000591d
0000620a,000015de,00006b42,00000fd0
000032ee,00000618,0000416c,00007205
0000193c,000072c6,00003b15,0000215c
00002b8d,00003589,00007b27,0000631c
00001cfb,000054e0,00003dfc,00000297
00002727,00005483,00003e42,00004fb3
00001029,00003388,000031fc,000022f2
00006a9b,000028b4,00006b5b,00002f28
00000687,00007fcd,00000731,000026ac
0000220f,00004596,000005f6,00002bde
00006918,00001750,000024cd,00007f35
00004462,00004a1a,00001420,00003cca
0000397b,00004852,0000156b,00001f38
00006893,000028af,00005788,0000527c
00003f5b,000069a8,0000184f,00001fa3
00004fd3,00001ed0,00003a37,000078d9
000065a0,00006757,00007d00,00003b23
00006763,000041b2,000056e1,00005bf9
00007b6b,0000146b,000020d9,00004350
00007e5e,00001681,000022b7,00006719
00002d79,00005716,0000693e,00005d4d
00001684,00000963,00005285,00007cac
00001384,0000343d,00001a66,000075c4
000032c2,00002ed3,00006398,00006f4f
000064c0,00002c4f,000041e4,00007b22
00003072,00002137,0000041c,00003ed1
0000595d,000060b2,00002aee,000014d9
00003d1a,000052c1,0000373d,00003cb8
00005d91,00006cb3,00003891,0000377c
00002ec8,00007a2d,00005564,00003b5b
000041ba,0000791c,0000646e,00007e86
00002c14,00002b2a,00005541,0000665d
00001c2f,000052ad,00003469,00007051
0000060b,0000144b,0000663f,00006612
000056a5,00000550,00000711,00005f42
000023cb,00007ac9,0000485a,00006d9b
0000481c,000035d3,00004e76,00007826
000024ae,000078da,00005019,000061c3
000019ce,00002ced,000069de,000077e6
000053e8,000047b8,00001914,00007bb8
00002c7c,0000496e,00005b29,000056d4
00001f91,000067ed,00007041,000038d7
00002efc,00003d29,00000924,000018e7
00004a4d,000054d7,00003a82,00005acd
00001502,00007fa8,00007220,00007cfa
00000663,00001016,0000099d,000074d9
00001cad,00000737,000072dc,00005418
000009e7,00005492,00003909,000026e4
00004fad,00001938,00004e33,00007c2e
000071ee,00006211,0000397e,00001bbe
00001e10,00002146,000054d6,0000461d
0000078c,00007257,00002d01,00000e7e
000048b5,000000fb,0000043f,0000690d
00000f98,0000373c,000067c3,0000037d
000065bf,00007d2e,000077c8,00007d76
000028f4,00004cbd,0000582d,000032fd
00004bbe,00004957,000061c6,000015e0
00001833,00007573,00003f34,000057b8
0000286b,00002755,00000bdf,00002e33
00001b21,00001884,00007f9a,00005c3f
00000cf4,000056b1,000003a5,000045f5
00003641,000054b9,00000a2e,000002f4
0000146f,0000295f,000062d8,00006186
000035a3,0000162e,000024ce,00006920
00006af0,0000219a,00006272,000050ec
00002039,000035bd,0000054d,000022a7
00006741,00000c23,000061de,00005763
00004fbe,00000c66,00002dd4,00004820
000062b5,000003d9,000058d2,00000f5b
00002dec,00002ba4,000067e6,00000a3f
00006658,0000765d,00007ca9,00004cf0
00001138,00001511,0000598a,00001f29
00007b70,00006365,00001455,00004119
0000798c,0000679f,00001247,00007587
00001dcc,00004886,00000d3a,00004574
00004806,000071a1,00006cd8,00001e61
00001afd,000044f7,00006392,000055a9
00004786,00004619,00000767,000027d1
00005661,000057e6,0000098d,00006e6d
00000abf,00006c51,0000749c,00003467
00007f2e,0000045c,00004c2e,00004d56
00002aaa,00001f94,0000550f,000072cf
000053ee,00000eb6,00001308,00000bd3
000016f6,00004e75,00003cbe,00007580
00004f83,00001d3c,00005649,00005d7f
00005db8,000011e3,00003cbd,000068bf
000030af,00003c48,000013a1,00003ef7
00006c98,000018d6,000031e5,00004e12
00004d73,000015a0,000079f5,000050dd
000071e9,0000591a,000069c7,0000591c
00001c1d,000028a5,00007108,00006a7e
00006feb,00006f66,00001f88,00003877
00005714,00007ec3,00001dbb,0000469e
00000253,00002544,00002107,0000095f
000070c2,0000523f,000031c3,00000ac7
00003868,00003c77,00007430,00004c79
000053d8,00006432,00002256,00006327
000009ca,00007baa,000042b8,00000bfd
000031b1,000033ef,00006ee6,0000519f
000024ef,0000158e,00005255,00006fdb
00000471,00005b0b,00003ff6,00001b8e
0000334c,00003f68,000055b0,000024f4
0000014c,00003c2e,000059f4,00001460
00004658,0000712d,0000390d,00002985
0000667a,00000ae2,00007cb5,00003580
00000935,00003076,00001f98,0000709c
000029a8,0000549b,00000a42,00005b29
0000114d,0000235e,000016f8,00002b83
00004f2c,00007734,000037a3,000072b1
0000563a,00007679,00002536,00004ce2
00004d5a,0000206e,00006dd2,0000349b
0000269d,000065f7,000034bc,00007bf8
0000482e,0000515d,00000d1e,0000175b
000014fe,000034d1,0000414b,00000d51
00005041,000035f0,00004c3f,00004867
000038fb,00000fcc,000044f9,00004e4a
000054b8,000031c4,00002ac0,000062b5
00003754,0000743b,00005b7e,00002e0e
00001a97,00002ffe,0000535a,00007d2b
00000f76,00004930,00004978,00001f4b
00007437,00003465,00006ae6,0000613a
0000162c,00004c68,00007e88,00002797
000060bd,00000a6e,00006b9e,0000000d
00004760,00005362,00007518,00005cc5
0000009c,00002d84,000013c0,00005db3
000006bd,0000219d,00003202,000033a0
00003d24,00005f1b,00000027,000064ca
00004e74,0000661d,00007436,00003c2a
00005cf8,00002263,00004d71,0000036e
00001de7,00002854,000060c9,00001fe7
00001fb1,0000501a,00002af4,00001321
000012ef,00001216,000009f8,0000276e
000046a2,000020dc,00005d34,000027af
0000677c,000050b9,00002f3a,00001ac8
00000dfd,00005d75,0000340b,000017e4
00002811,0000599f,0000658d,00001ee5
00007401,00007104,0000742e,00006511
00002658,00006ed6,00000354,0000438d
00004aa6,00007a34,000019ea,00003f60
00001c8a,00007a06,000020f1,00000802
00000c88,00000799,000072b0,000053a8
000065fa,00007667,000079f6,000025ce
00004465,00000d92,00003f49,00000630
000070a5,0000176d,000059f6,00006f2f
00000151,00003cc5,00000396,000058f0
000025b8,0000259f,00004e8d,0000536a
0000703f,00006edc,00002476,00005f6d
00002e76,00004840,000028e5,00003947
000018f1,000011ab,000071bc,00001cbf
00002c6b,000039e3,000024d6,0000204a
0000191e,00001587,0000611d,00000401
00005bf2,0000609c,00005578,0000712c
00000d81,00005a17,0000612e,000053da
00007b58,00005b54,00002b44,00006c45
00000a38,00001e5c,00003c51,00007823
00000b14,000037d1,00005c0e,00001e16
0000636c,00001041,000011d1,00005fec
00002158,00001ce2,00002be2,00000480
00000f25,00006c73,00000061,00004783
000070cb,00001ef3,0000691c,000063b9
0000587d,000061a5,000070d7,00002081
00000052,00005b2e,00002269,000077ef
00003f90,0000336c,00005c91,0000158d
000058ae,00006126,0000159a,00004835
000069f9,0000642e,000023ff,000022ea
00004292,00002821,00005b71,00006ad2
00000ed6,00001bcd,00003911,0000713b
0000157b,00001e93,000019da,00007f96
000065fb,0000793b,000022ef,00005574
00006ce9,00000756,00007b8f,00006179
000002eb,0000141e,000038a5,00007b9c
00002db8,000046e4,00002d0f,000038d9
000045e3,00001e53,00003828,00000404
00006f96,00002a82,00005981,000029a3
0000559d,0000154e,00007ec3,000004c0
00001433,00001829,00005eb6,00000acf
00003187,00001579,00000632,0000592c
00004639,0000264f,0000452e,00006893
00003902,00005c48,000008ad,00004972
00003f22,000010a6,000034d7,00005135
00000887,0000341f,000039e4,00004e13
000027e8,000050c7,00006d59,000037c1
00002a59,00006592,0000759a,0000581b
0000178f,00003906,0000022a,00001cdc
00006ab9,000032dd,0000382d,00004c79
00005e6f,00006b0f,00000aba,0000114d
000049e7,0000703a,00004969,00005169
00004ac6,00007f69,00001038,000072d0
00001523,00001b2f,00006d78,0000467a
000012f7,0000297c,000067ad,0000338e
000036e1,000017e3,00007c69,00004e30
00003788,00005aef,00001fed,000051db
0000620d,00007a6a,00006589,00005080
000050e5,00001d30,000078f3,000043e1
0000783d,00000a0c,00004e1f,00001743
000019ce,00003d0b,00007629,00006515
000055bd,00006b85,00004a95,00006cf2
000034c8,00003b2e,00004980,00003af5
00003c37,000002ea,000016f8,00002846
00001104,0000613c,00006e6b,00003270
00002400,00005d2e,0000691c,00006a39
00005fac,00007106,00002333,000049c1
00002b4f,00004213,0000397c,00005e8a
00004cac,00007484,00000cfb,00003e37
0000389b,00000962,000076ed,00007027
000049a2,00005f6b,00000544,00004ca1
00001085,0000210b,00004c67,00004a60
00002270,00003f27,000000b5,00004935
0000735b,0000147d,00007c5e,00006c89
00007001,000035ad,00000094,00001a2d
00005e1f,0000511f,00004ee1,000076cb
0000559e,00000ba1,00006e06,000021b0
00003815,00003051,000027d2,00003b0f
00000944,00004f93,00007ec5,00000c50
00000667,00002c02,00006ee8,000051fa
00000c3c,00004fe9,000022a8,00005896
00007b21,000067f0,00004ad9,000000a1
00003740,00004f8c,00007bec,00001a09
00003423,00004d00,00005889,0000251c
00007026,00000fcb,00007aed,00001545
00006d28,000003f7,000013c2,00006dda
00006c21,00005e13,00006eb9,0000228a
000055ae,000053d6,000054fe,0000138d
0000644b,00001447,00007a12,00002be1
00004116,000022ca,0000357f,00002144
00002d18,000011db,000022bc,00007302
00004dfb,00002604,0000329f,00006233
00006925,0000254a,0000001c,0000492d
00005c01,00001f52,0000039a,00002f1a
0000681c,000015dc,000046d2,00005ee1
00002e71,00006e9c,000052a1,0000643d
00003aca,000020e3,0000223f,00005dfc
0000418c,0000176d,00000639,000051ab
00004af4,0000712b,00002d43,00007145
00007c9c,0000263b,00006c12,0000585f
000010d2,00000584,00003774,0000691e
00002333,00006f43,00006042,00007f65
0000611a,00002bef,00006fab,0000658d
00003306,00001c41,000053dd,00004bf6
00001ffe,00000dec,0000360f,00003ec6
00000281,00003231,00003cfb,00003158
00007ffe,0000614d,00002ec1,0000719b
0000387c,000010b0,00002e9f,00004856
00000afc,000058d7,000004a6,0000533c
0000194c,00004f69,00004169,00007a35
00004cad,00001c82,00006cee,0000036c
